producto_url,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Cámara Principal (MP),Cámara frontal (MP),NFC,PRECIO DE LISTA,PRECIO DE LISTA SIN IMPUESTOS,PRECIO DE PROMOCIÓN,PRECIO DE PROMOCIÓN SIN IMPUESTOS,PRECIO CONEXIÓN TOTAL,PRECIO CONEXIÓN TOTAL SIN IMPUESTOS,Financiación
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a06-128-gb/f,Samsung Galaxy A06 128 GB,Android 14,Octa-Core (2.0GHz.1.8GHz),4,128,6.7,50,8,No,335.999,277.685,247.999,204.957,223.199,184.461,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g35-5g-128-gb/f,Motorola Moto G35 5G 128 GB,Android 14,Octa-Core 2.2GHz,4,128,6.72,50,16,Si,491.999,406.610,309.999,256.197,278.999,230.577,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/oppo/oppo-a60-256-gb/f,OPPO A60 256 GB,Android 14,,8,256,6.67,50,5,No,658.999,544.627,394.999,326.445,355.499,293.800,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g-75-5g-128-gb/f,Motorola Moto G75 5G 128 GB,Android 14,Octa-Core 2.4GHz,8,128,6.78,50,16,Si,555.999,459.503,469.999,388.428,422.999,349.585,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-13-pro-max-256-gb/f,iPhone 13 Pro Max 256 GB,iOS 15,,6,256,6,12,12,No,4.299.999,3.553.718,1.529.999,1.264.461,1.376.999,1.138.015,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a15-128-gb/f,Samsung Galaxy A15 128 GB,Android 14,Octa-Core (2.2GHz - 2GHz),4,128,6.5,50,13,Si,436.999,361.156,329.999,272.726,296.999,245.453,6 cuotas s/int. en tu factura | 12 cuotas s/int. con tarjeta
https://tienda.personal.com.ar/celulares/nubia/nubia-music-128-gb/f,Nubia Music 128 GB,Android 13,,4,128,6.6,50,5,No,264.999,219.007,214.999,177.685,193.499,159.916,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/xiaomi/xiaomi-redmi-14c-256-gb/f,Xiaomi Redmi 14C 256 GB,Android 14,,4,256,6.88,50,13,No,441.999,365.288,349.589,288.916,314.630,260.024,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a36-5g-256-gb/f,Samsung Galaxy A36 5G 256 GB,Android 15,,8,256,6.7,50,12,SI,925.999,765.288,739.999,611.569,665.999,550.412,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-13-pro-256-gb/f,iPhone 13 Pro 256 GB,iOS 15,,6,256,6,12,12,No,3.978.989,3.288.420,1.399.999,1.157.023,1.259.999,1.041.321,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/tcl/tcl-505-nfc-128-gb/f,TCL 505 NFC 128 GB,Android 14,,4,128,6.75,50,5,Si,239.999,198.346,164.999,136.362,148.499,122.726,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/oppo/oppo-a40-256-gb/f,OPPO A40 256 GB,Android 14,,4,256,6.67,50,5,No,485.999,401.652,299.999,247.933,269.999,223.139,Hasta 12 cuotas s/int. | con tarjetas de crédito
